,Date,Open,Close,High,Low,Volume
550,2022-06-14 12:44:00,22298.0,22251.0,22298.0,22231.0,14.61983951
549,2022-06-14 12:45:00,22250.0,22298.0,22298.0,22223.0,4.68666361
548,2022-06-14 12:46:00,22301.75811951,22309.0,22309.0,22253.0,3.04906658
547,2022-06-14 12:47:00,22314.0,22282.0,22355.0,22282.0,17.78607092
546,2022-06-14 12:48:00,22273.0,22218.0,22278.0,22215.0,7.98317437
545,2022-06-14 12:49:00,22228.5086673,22154.10112674,22228.5086673,22154.10112674,5.62584606
544,2022-06-14 12:50:00,22168.85875422,22172.0,22178.0,22122.8196838,5.25764791
543,2022-06-14 12:51:00,22165.0,22155.0,22198.1563445,22153.0,2.87486374
542,2022-06-14 12:52:00,22154.20995909,22151.0,22162.58069917,22135.0,7.8525462600000004
541,2022-06-14 12:53:00,22151.0,22178.0,22209.0,22151.0,17.44690903
540,2022-06-14 12:54:00,22189.0726708,22178.0,22189.0726708,22150.0,2.75453113
539,2022-06-14 12:55:00,22196.0,22156.0,22246.0,22156.0,14.02227626
538,2022-06-14 12:56:00,22159.0,22148.0,22184.0,22147.0,2.63375995
537,2022-06-14 12:57:00,22148.0,22171.0,22188.0,22148.0,3.61258675
536,2022-06-14 12:58:00,22165.0,22164.0,22195.39577725,22164.0,5.33983063
535,2022-06-14 12:59:00,22162.80164661,22146.0,22168.83759673,22146.0,2.10625744
534,2022-06-14 13:00:00,22150.0,22157.0,22168.0,22135.0,4.0371601
533,2022-06-14 13:01:00,22180.90949696,22152.0,22183.32387701,22135.0,3.21207015
532,2022-06-14 13:02:00,22135.25730393,22133.0,22136.00059666,22131.0,1.13562261
531,2022-06-14 13:03:00,22138.0,22134.0,22155.0,22132.0,1.74044699
530,2022-06-14 13:04:00,22148.0,22198.0,22217.12519768,22148.0,1.43117131
529,2022-06-14 13:05:00,22198.43718542,22166.0,22203.0,22166.0,3.29780246
528,2022-06-14 13:06:00,22163.0,22148.0,22163.0,22143.93242452,1.89532998
527,2022-06-14 13:07:00,22145.0,22143.0,22153.0,22143.0,0.12902541
526,2022-06-14 13:08:00,22136.0,22183.0,22186.0,22135.0,0.60916903
525,2022-06-14 13:09:00,22189.0,22256.0,22256.0,22189.0,1.4381214
524,2022-06-14 13:10:00,22255.0,22295.51727022,22311.0,22250.0,6.11255315
523,2022-06-14 13:11:00,22295.51727022,22322.0,22325.0,22277.80780157,11.579024650000001
522,2022-06-14 13:12:00,22321.0,22277.0,22339.0,22277.0,10.88193932
521,2022-06-14 13:13:00,22282.0,22287.4537943,22287.4537943,22253.0,11.963611180000001
520,2022-06-14 13:14:00,22279.0,22281.0,22295.90973883,22276.58186562,0.53587286
519,2022-06-14 13:15:00,22269.63109534,22401.0,22403.95468417,22269.63109534,5.73146006
518,2022-06-14 13:16:00,22396.6389365,22440.0,22442.47701596,22355.0,12.19938042
517,2022-06-14 13:17:00,22432.0,22514.0,22571.0,22426.94703399,47.79564955
516,2022-06-14 13:18:00,22512.0,22470.0,22536.35090092,22467.0,16.38862254
515,2022-06-14 13:19:00,22462.0,22485.0,22485.0,22439.48831571,2.55461586
514,2022-06-14 13:20:00,22485.62871359,22546.0,22549.0,22485.62871359,1.48589894
513,2022-06-14 13:21:00,22540.0,22494.0,22540.0,22479.0,8.97315083
512,2022-06-14 13:22:00,22480.0,22442.0,22488.0,22434.0,5.09466836
511,2022-06-14 13:23:00,22442.0,22453.0,22453.0,22404.0,2.05832104
510,2022-06-14 13:24:00,22448.0,22450.0,22465.09830443,22437.0,0.79968571
509,2022-06-14 13:25:00,22436.11419738,22397.0,22436.11419738,22374.0,2.79352591
508,2022-06-14 13:26:00,22396.0,22458.0,22458.0,22393.0,7.35853947
507,2022-06-14 13:27:00,22461.0,22524.0,22545.0,22461.0,25.36022987
506,2022-06-14 13:28:00,22524.0,22545.87275864,22547.0,22505.0,1.88765422
505,2022-06-14 13:29:00,22536.0,22539.0,22562.0,22504.98218491,3.21794971
504,2022-06-14 13:30:00,22538.0,22426.0,22588.0,22404.0,11.9503836
503,2022-06-14 13:31:00,22446.0,22474.0,22474.0,22383.81514977,5.60997939
502,2022-06-14 13:32:00,22458.0,22410.0,22541.0,22408.0,2.30581095
501,2022-06-14 13:33:00,22420.0,22460.0,22474.0,22398.0,6.39512282
500,2022-06-14 13:34:00,22481.0,22456.0,22496.0,22454.0,0.436073
499,2022-06-14 13:35:00,22450.0,22446.0,22460.0,22414.0,1.73350553
498,2022-06-14 13:36:00,22461.0,22352.0,22461.0,22307.0,17.37517046
497,2022-06-14 13:37:00,22352.0,22326.0,22372.0,22323.36341412,2.24225163
496,2022-06-14 13:38:00,22334.0,22358.0,22358.0,22329.13349631,0.14351721
495,2022-06-14 13:39:00,22341.47224821,22354.20715017,22400.0,22341.47224821,1.03334169
494,2022-06-14 13:40:00,22346.0,22231.0,22354.20715017,22231.0,18.59236817
493,2022-06-14 13:41:00,22230.0,22197.0,22244.0,22185.0,3.87031576
492,2022-06-14 13:42:00,22188.0,22155.0,22211.73683606,22155.0,1.58431912
491,2022-06-14 13:43:00,22155.0,22048.0,22162.0,22039.0,38.76343063
490,2022-06-14 13:44:00,22054.14541394,22047.0,22092.05912679,21979.14707787,14.86692847
489,2022-06-14 13:45:00,22048.94541787,22121.0,22121.0,22017.0,8.081354170000001
488,2022-06-14 13:46:00,22122.0,22161.26249727,22171.0,22122.0,5.9048074
487,2022-06-14 13:47:00,22166.47340884,22179.0,22190.29471889,22126.0,2.30271379
486,2022-06-14 13:48:00,22180.0,22140.0,22185.08380731,22127.0,3.4127419100000003
485,2022-06-14 13:49:00,22137.0,22152.89929403,22180.0,22125.0,9.0272038
484,2022-06-14 13:50:00,22159.44102687,22079.0,22166.1738973,22078.0,4.92934374
483,2022-06-14 13:51:00,22075.66523864,22038.25499306,22098.73155842,22029.0,12.09683596
482,2022-06-14 13:52:00,22035.0,22127.01936409,22129.0,22011.70578652,6.36296021
481,2022-06-14 13:53:00,22117.0,22148.60742631,22159.02924946,22077.0,5.91538771
480,2022-06-14 13:54:00,22148.60742631,22200.0,22200.0,22137.0,105.34561237
479,2022-06-14 13:55:00,22203.0,22236.0,22254.0,22194.0,13.16651563
478,2022-06-14 13:56:00,22240.0,22237.0,22250.0,22216.0,8.63061891
477,2022-06-14 13:57:00,22236.0,22239.0,22239.0,22195.0,7.31710004
476,2022-06-14 13:58:00,22239.0,22302.0,22302.0,22239.0,124.14057952
475,2022-06-14 13:59:00,22300.0,22400.0,22436.0,22300.0,9.28512399
474,2022-06-14 14:00:00,22400.0,22450.0,22459.0,22369.0,12.93678481
473,2022-06-14 14:01:00,22446.0,22458.0,22473.0,22410.50307908,12.7760911
472,2022-06-14 14:02:00,22470.0,22462.57382013,22473.0,22403.0,4.62036006
471,2022-06-14 14:03:00,22473.92785733,22392.57720769,22478.0,22390.0,6.39760959
470,2022-06-14 14:04:00,22392.57720769,22337.0,22396.0,22335.0,11.87479124
469,2022-06-14 14:05:00,22335.0,22321.0,22351.0,22281.0,6.2913757200000004
468,2022-06-14 14:06:00,22299.0,22292.0,22326.0,22272.84780984,0.670894
467,2022-06-14 14:07:00,22286.26447156,22357.2237892,22357.2237892,22286.26447156,1.57780936
466,2022-06-14 14:08:00,22331.9109954,22271.0,22331.9109954,22271.0,2.064607
465,2022-06-14 14:09:00,22269.0,22200.0,22269.0,22173.71323529,16.46510385
464,2022-06-14 14:10:00,22198.78008021,22178.0,22199.0,22150.73529412,8.772802949999999
463,2022-06-14 14:11:00,22175.0,22184.0,22196.0,22130.0,15.20881761
